x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,heading_rad,curvature_radpm
2.294259,-5.204053,6.746,6.854,0.0,0.1297405614642053,-6.074191837496666e-05
7.254228,-4.557675,6.619,6.854,5.001909335428324,0.12943998949316188,-5.944100379413701e-05
12.214433,-3.912766,6.546,6.849,10.003863079747237,0.12914614564945245,-5.805067207222518e-05
17.174866,-3.269292,6.549,6.838,15.005858115347035,0.12885924044447916,-5.666567275869208e-05
22.13552,-2.627219,6.551,6.827,20.007892286066483,0.1285791484626423,-5.53255828593208e-05
27.096389,-1.986514,6.554,6.816,25.009964269973352,0.12830578288368485,-5.39754006019496e-05
32.057465,-1.347144,6.556,6.804,30.012070733722002,0.12803904401815963,-5.2675238967266514e-05
37.018742,-0.709077,6.559,6.793,35.01421017272388,0.12777924148768804,-5.120137603975276e-05
41.980211,-0.072277,6.561,6.782,40.016378590316485,0.12752626285799742,-4.994622371355683e-05
46.941867,0.563287,6.563,6.771,45.018575293809064,0.12727990934339714,-4.855195729362379e-05
51.903701,1.197649,6.566,6.76,50.02079597972447,0.12704037875394994,-4.721775437068331e-05
56.865708,1.830842,6.568,6.748,55.02304016041957,0.12680765799176089,-4.5828824958979135e-05
61.82788,2.4629,6.571,6.737,60.025304475002315,0.12658177192224263,-4.448473081876897e-05
66.79021,3.093856,6.573,6.726,65.02758640456567,0.12636260830247503,-4.314075253851284e-05
71.752691,3.723743,6.576,6.715,70.0298834077563,0.12615016672202986,-4.179688455244154e-05
76.715316,4.352594,6.578,6.703,75.03219292145356,0.12594453339585654,-4.0418485571644394e-05
81.678079,4.980443,6.58,6.692,80.0345134790518,0.12574564645994116,-3.9099431020844836e-05
86.64097,5.607322,6.583,6.681,85.0368393739253,0.12555357957781021,-3.769159710449427e-05
91.603985,6.233266,6.585,6.67,90.03917120831625,0.12536840659674187,-3.634309592056384e-05
96.567116,6.858308,6.588,6.659,95.04150534598888,0.12518986725203443,-3.503933871461173e-05
101.530356,7.48248,6.59,6.647,100.04383899971332,0.1250179611895291,-3.3691032237593176e-05
106.493697,8.105815,6.593,6.636,105.04616849750792,0.12485307233427893,-3.22338028070453e-05
111.457133,8.728349,6.595,6.625,110.04849250813058,0.12469489048975439,-3.100955708984567e-05
116.420657,9.350112,6.597,6.614,115.05080794468044,0.12454342788636974,-2.954745244047833e-05
121.384262,9.97114,6.602,6.602,120.05311245088646,0.12439879589584991,-2.8278711329846594e-05
126.34794,10.591464,6.611,6.589,125.05540204192974,0.12426087033176375,-2.68662609862859e-05
131.311686,11.211119,6.62,6.576,130.05767619190803,0.12412977500211277,-2.5548057170064117e-05
136.27549,11.830137,6.63,6.563,135.05992902785502,0.12400539817695949,-2.4180259554224415e-05
141.239348,12.448552,6.639,6.551,140.06216086538407,0.12388792575936887,-2.2787757841538558e-05
146.203251,13.066398,6.649,6.538,145.06436704597328,0.12377709713877455,-2.152414503270343e-05
151.167192,13.683706,6.658,6.525,150.06654451367123,0.12367307356065896,-2.0067170927124084e-05
156.131165,14.300512,6.668,6.512,155.06869181121905,0.1235758550029493,-1.8803562681100504e-05
161.095163,14.916847,6.677,6.499,160.07080586192092,0.12348526769179027,-1.7416051441783942e-05
166.059178,15.532745,6.686,6.486,165.07288295715134,0.12340160917774323,-1.6033457124586824e-05
171.023203,16.14824,6.696,6.473,170.07492037161057,0.12332465646423917,-1.473508616654639e-05
175.987232,16.763364,6.705,6.46,175.07691611813186,0.1232545210971215,-1.3307865065882984e-05
180.951257,17.378152,6.715,6.447,180.07886658625617,0.12319110393199215,-1.204910310980006e-05
185.915272,17.992635,6.724,6.434,185.0807696518417,0.12313450425173414,-1.0582148740578075e-05
190.879269,18.606849,6.733,6.422,190.0826218141717,0.12308463522726859,-9.35806816179531e-06
195.843241,19.220824,6.743,6.409,195.08441982262917,0.12304148470069624,-7.895926041564152e-06
200.807181,19.834596,6.752,6.396,200.0861611585625,0.12300533818662421,-6.557633207177524e-06
205.771083,20.448198,6.762,6.383,205.08784392339354,0.12297581129364081,-5.249139262659168e-06
210.734939,21.061662,6.771,6.37,210.089464107697,0.12295291647033747,-3.905808967478266e-06
215.698742,21.675021,6.78,6.357,215.09101881455467,0.12293693931029889,-2.483051173058454e-06
220.662485,22.28831,6.79,6.344,220.09250539032092,0.12292778084751811,-1.1792280348736532e-06
225.626161,22.901561,6.799,6.331,225.09392081217672,0.12292532987496044,1.9913614681601557e-07
230.589764,23.514808,6.809,6.318,230.09526329441266,0.12292971041611635,1.5526312340140063e-06
235.553285,24.128084,6.818,6.306,235.09652795143862,0.12294081130760538,2.8866238264507887e-06
240.516719,24.741422,6.828,6.293,240.09771386825875,0.12295863288431803,4.2403419206108364e-06
245.480057,25.354855,6.837,6.28,245.098816161527,0.12298327472820673,5.614246968989553e-06
250.443294,25.968417,6.846,6.267,250.09983404252014,0.12301473722493898,6.968219889623463e-06
255.406421,26.582141,6.856,6.254,255.10076263292262,0.12305292155704317,8.302702198953368e-06
260.369433,27.19606,6.865,6.241,260.10160102770254,0.1230979273802624,9.696643328719278e-06
265.332321,27.810208,6.875,6.228,265.1023444790753,0.12314976743192688,1.103632415086491e-05
270.295079,28.424618,6.884,6.215,270.10299109873006,0.12320821917176689,1.2341381159374048e-05
